 Reading file:
     Test dmm pressure                                                               
 V-L Phase equilibrium
 =====================
  
   T(K)     P(kPa)    x1     y1     V_L          V_V        
  
   303.70     77.13  0.977  0.844   0.8930E-04   0.3207E-01
   303.50     80.12  0.936  0.796   0.8727E-04   0.3081E-01
   303.50     80.96  0.896  0.783   0.8527E-04   0.3047E-01
   303.50     81.12  0.877  0.779   0.8432E-04   0.3041E-01
   303.60     81.55  0.857  0.777   0.8334E-04   0.3025E-01
   303.80     82.30  0.812  0.773   0.8107E-04   0.2999E-01
   304.20     83.61  0.723  0.768   0.7660E-04   0.2955E-01
   304.80     85.52  0.632  0.765   0.7209E-04   0.2893E-01
   306.10     89.60  0.483  0.759   0.6472E-04   0.2771E-01
   307.10     92.57  0.406  0.753   0.6093E-04   0.2689E-01
   307.50     93.69  0.380  0.751   0.5968E-04   0.2660E-01
   308.10     95.20  0.341  0.746   0.5778E-04   0.2622E-01
   308.90     97.24  0.306  0.740   0.5611E-04   0.2572E-01
   310.20     99.92  0.254  0.727   0.5360E-04   0.2512E-01
   311.00    101.44  0.230  0.719   0.5247E-04   0.2480E-01
   312.40    103.74  0.195  0.703   0.5085E-04   0.2434E-01
   314.30    105.45  0.154  0.675   0.4895E-04   0.2408E-01
   315.80    105.00  0.124  0.645   0.4757E-04   0.2429E-01
   317.50    103.61  0.097  0.605   0.4636E-04   0.2474E-01
   319.40    101.53  0.074  0.555   0.4536E-04   0.2538E-01
   321.70     97.40  0.052  0.479   0.4438E-04   0.2662E-01
   323.30     92.17  0.037  0.403   0.4373E-04   0.2823E-01
   324.10     86.25  0.027  0.336   0.4328E-04   0.3021E-01
   324.80     82.50  0.020  0.282   0.4300E-04   0.3161E-01
   325.80     77.93  0.013  0.203   0.4270E-04   0.3349E-01
   326.50     73.07  0.007  0.122   0.4244E-04   0.3571E-01
   327.30     69.62  0.002  0.046   0.4226E-04   0.3747E-01
   327.40     67.80  0.001  0.016   0.4219E-04   0.3845E-01
   312.80    100.54  0.992  0.907   0.9135E-04   0.2523E-01
   312.70    105.08  0.983  0.861   0.9092E-04   0.2411E-01
   312.10    111.70  0.912  0.776   0.8737E-04   0.2258E-01
   312.30    113.10  0.889  0.768   0.8624E-04   0.2230E-01
   312.50    114.50  0.841  0.759   0.8378E-04   0.2203E-01
   312.60    115.10  0.789  0.754   0.8114E-04   0.2192E-01
   313.30    118.06  0.671  0.748   0.7510E-04   0.2140E-01
   313.90    120.50  0.588  0.744   0.7087E-04   0.2100E-01
   315.20    125.64  0.459  0.736   0.6440E-04   0.2020E-01
   315.90    128.29  0.411  0.732   0.6200E-04   0.1982E-01
   317.40    132.75  0.310  0.717   0.5703E-04   0.1923E-01
   318.60    136.89  0.278  0.708   0.5548E-04   0.1870E-01
   319.80    140.15  0.242  0.696   0.5375E-04   0.1832E-01
   321.70    144.48  0.196  0.674   0.5160E-04   0.1786E-01
   320.80    139.08  0.190  0.674   0.5119E-04   0.1852E-01
   322.60    140.70  0.151  0.645   0.4939E-04   0.1840E-01
   323.80    146.30  0.150  0.640   0.4942E-04   0.1774E-01
   324.50    140.35  0.118  0.607   0.4783E-04   0.1854E-01
   326.80    140.66  0.091  0.561   0.4666E-04   0.1862E-01
   326.50    137.42  0.088  0.555   0.4646E-04   0.1904E-01
   328.10    133.18  0.067  0.503   0.4553E-04   0.1974E-01
   329.80    126.42  0.048  0.430   0.4466E-04   0.2088E-01
   331.50    117.11  0.030  0.333   0.4388E-04   0.2261E-01
   331.80    113.66  0.026  0.302   0.4368E-04   0.2330E-01
   333.80    100.79  0.009  0.140   0.4297E-04   0.2631E-01
   334.00     98.54  0.007  0.112   0.4288E-04   0.2690E-01
   334.20     96.64  0.005  0.087   0.4280E-04   0.2742E-01
   334.50     93.65  0.003  0.046   0.4268E-04   0.2828E-01
   334.80     92.56  0.001  0.023   0.4263E-04   0.2861E-01
